         NATO_Name            USSR_Name     NSoft NHard    Yield_Kt  MaxRng_Km      CEP_NMi  Num_WH
       ss-7-saddler-y1           r-16-y1-y1   128    69    333.00000  12964.00000      1.25368   1 
       ss-7-saddler-y2           r-16-y1-y2   128    69   5000.00000  12964.00000      1.25368   1 
       ss-7-saddler-y3           r-16-y1-y3   128    69   6000.00000  12964.00000      1.25368   1 
         ss-8-sasin-y1            r-9-y1-y1     0    23   1000.00000  12000.00000      2.62398   1 
         ss-8-sasin-y2            r-9-y1-y2     0    23   5000.00000  12000.00000      2.62398   1 
         ss-9-scarp-m1                 r-36     0   210  20000.00000  11000.00000      1.45777   1 
         ss-9-scarp-m2                 r-36     0   120   8300.00000  11000.00000      1.45777   1 
         ss-9-scarp-m3             r-36-orb     0    18   2300.00000  11000.00000      1.45777   1 
         ss-9-scarp-m4                 r-36     0    12   2300.00000  11000.00000      1.45777   3 
         ss-11-sego-m1               ur-100     0   990   1100.00000  10600.00000      0.40818   1 
         ss-11-sego-m2              ur-100k     0   248   1000.00000  10600.00000      0.27989   1 
        ss-11-sego-m2a              ur-100k     0   220    220.00000  10600.00000      0.27989   3 
         ss-11-sego-m3              ur-100u     0   120    220.00000  10600.00000      0.33529   3 
       ss-13-savage-m1                 rt-2     0    60    430.00000   8000.00000      0.52480   1 
      ss-17-spanker-m1            mr-ur-100     0   120    400.00000  11000.00000      0.20409   4 
      ss-17-spanker-m2        mr-ur-100utth     0   150    500.00000  11000.00000      0.11516   4 
      ss-17-spanker-m3            mr-ur-100     0   120    400.00000  11000.00000      0.20409   4 
        ss-18-satan-m1                r-36m     0   148    700.00000  16000.00000      0.20409   8 
        ss-18-satan-m2                r-36m     0    10    400.00000  16000.00000      0.20409  10 
        ss-18-satan-m3                r-36m     0    30  20000.00000  16000.00000      0.10787   1 
        ss-18-satan-m4          r-36m-mutth     0   278    500.00000  16000.00000      0.10787  10 
        ss-18-satan-m5          r-36m-mutth     0    30  20000.00000  16000.00000      0.10787   1 
        ss-18-satan-m6               r-36m2     0    58    800.00000  16000.00000      0.06414  10 
     ss-18-stiletto-m1              ur-100n     0   190    400.00000  10600.00000      0.18951   6 
     ss-18-stiletto-m2              ur-100n     0   190    400.00000  10600.00000      0.18951   6 
     ss-18-stiletto-m3        ur-100n-nutth     0   360    400.00000  10600.00000      0.10204   6 
      ss-24-scalpel-m1           rt-23-utth    35     0    400.00000    240.00000      0.08747  10 
      ss-24-scalpel-m2           rt-23-utth     0    56    400.00000    240.00000      0.06414  10 
          ss-25-sickle         rt-2pm-topol     0   369    800.00000  11000.00000      0.10204   1 
          ss-27-sickle      rt-2pm2-topol-m     0    48    800.00000  11000.00000      0.10204   1 
         ss-27a-sickle             topol-m1     6     0    800.00000  10500.00000      0.10204   1 
